"fips_state_code","fips_county_code","name","state_abbrev","population","housing_units","land_area","water_area","latitude","longitude"
"2","13","Aleutians East Borough","AK","2464","693","18090504","20789982","55229183","-16191519"
"2","16","Aleutians West Census Area","AK","9478","2051","11401462","25155600","52242645","-17512975"
"2","20","Anchorage Borough","AK","226338","94153","4396902","683421","61178368","-14918641"
"2","50","Bethel Census Area","AK","13656","4362","106416388","12605996","60939161","-16014731"
"2","60","Bristol Bay Borough","AK","1410","596","1344789","1031830","58744623","-15698809"
"2","70","Dillingham Census Area","AK","4012","1691","47829349","5558624","59949649","-15842985"
"2","90","Fairbanks North Star Borough","AK","77720","31823","19068693","210436","64846315","-14664338"
"2","100","Haines Borough","AK","2117","1112","6104612","1028498","59155973","-13544371"
"2","110","Juneau Borough","AK","26751","10638","6717313","1262782","58388588","-13413342"
"2","122","Kenai Peninsula Borough","AK","40802","19364","41644386","14466224","60202478","-15162957"
"2","130","Ketchikan Gateway Borough","AK","13828","5463","3158883","1356922","55541150","-13140800"
"2","150","Kodiak Island Borough","AK","13309","4885","16738061","13942816","57707368","-15378251"
"2","164","Lake and Peninsula Borough","AK","1668","991","61207704","13923634","58401493","-15618466"
"2","170","Matanuska-Susitna Borough","AK","39683","20953","63956536","1395411","62395317","-14957532"
"2","180","Nome Census Area","AK","8288","3684","59602512","13632760","64735328","-16418660"
"2","185","North Slope Borough","AK","5979","2153","227558672","15443149","69296886","-15344809"
"2","188","Northwest Arctic Borough","AK","6113","1998","92883808","12428093","67000678","-15999816"
"2","201","Prince of Wales-Outer Ketchikan Census Area","AK","6278","2543","18970375","13576622","55454038","-13205037"
"2","220","Sitka Borough","AK","8588","3222","7463030","5097817","57214050","-13544683"
"2","231","Skagway-Yakutat-Angoon Census Area","AK","4385","2102","33360798","11964788","58811136","-13662206"
"2","240","Southeast Fairbanks Census Area","AK","5913","3149","67324739","625041","63765233","-14359808"
"2","261","Valdez-Cordova Census Area","AK","9952","5196","95688464","17017123","61400254","-14450310"
"2","270","Wade Hampton Census Area","AK","5791","1882","44351368","6620034","62087611","-16352942"
"2","280","Wrangell-Petersburg Census Area","AK","7042","3005","15044097","8197976","56518015","-13296181"
"2","290","Yukon-Koyukuk Census Area","AK","8478","4899","406944070","4855431","65285776","-15164693"
"1","1","Autauga County","AL","34222","12732","1543666","21962","32542207","-8664147"
"1","3","Baldwin County","AL","98280","50933","4135016","1115118","30654881","-8775473"
"1","5","Barbour County","AL","25417","10705","2292133","50746","31863073","-8538899"
"1","7","Bibb County","AL","16576","6404","1611914","8130","32996943","-8712685"
"1","9","Blount County","AL","39248","15790","1672287","12884","33979740","-8656621"
"1","11","Bullock County","AL","11042","4458","1618915","2703","32101773","-8571778"
"1","13","Butler County","AL","21892","8745","2012260","2724","31751982","-8668230"
"1","15","Calhoun County","AL","116034","46753","1576038","9959","33774548","-8582561"
"1","17","Chambers County","AL","36876","14910","1547283","14885","32915184","-8538980"
"1","19","Cherokee County","AL","19543","9379","1432714","121285","34187088","-8560575"
"1","21","Chilton County","AL","32458","13883","1797629","17453","32844987","-8671868"
"1","23","Choctaw County","AL","16018","6789","2366161","18995","32024863","-8826578"
"1","25","Clarke County","AL","27240","10853","3207659","36584","31677523","-8783598"
"1","27","Clay County","AL","13252","5608","1567273","2403","33268721","-8585985"
"1","29","Cleburne County","AL","12730","5232","1450928","2226","33670870","-8551738"
"1","31","Coffee County","AL","40240","16951","1759093","3449","31402888","-8598913"
"1","33","Colbert County","AL","51666","21812","1539948","75322","34707296","-8779656"
"1","35","Conecuh County","AL","14054","6207","2203757","4438","31428183","-8699299"
"1","37","Coosa County","AL","11063","5113","1689951","36041","32935503","-8623924"
"1","39","Covington County","AL","36478","16178","2679941","23877","31248133","-8645316"
"1","41","Crenshaw County","AL","13635","5938","1578918","3345","31731354","-8631159"
"1","43","Cullman County","AL","67613","28369","1912664","42427","34131670","-8686689"
"1","45","Dale County","AL","49633","19432","1453300","4134","31426115","-8561233"
"1","47","Dallas County","AL","48130","19045","2540256","32798","32329593","-8710951"
"1","49","DeKalb County","AL","54651","22939","2014972","1898","34459830","-8579873"
"1","51","Elmore County","AL","49210","19497","1609888","92419","32599910","-8613815"
"1","53","Escambia County","AL","35518","14356","2453958","14420","31136909","-8716269"
"1","55","Etowah County","AL","99840","41787","1385231","36177","34047533","-8603825"
"1","57","Fayette County","AL","17962","7555","1626038","4067","33729772","-8773537"
"1","59","Franklin County","AL","27814","11772","1646417","28142","34435932","-8784364"
"1","61","Geneva County","AL","23647","10416","1492831","6675","31094395","-8583733"
"1","63","Greene County","AL","10153","4162","1673033","36331","32854779","-8795123"
"1","65","Hale County","AL","15498","6370","1667399","32997","32755765","-8762542"
"1","67","Henry County","AL","15374","7056","1455459","16634","31516095","-8523983"
"1","69","Houston County","AL","81331","33196","1503260","3361","31151186","-8530457"
"1","71","Jackson County","AL","47796","19768","2794105","124361","34776174","-8600212"
"1","73","Jefferson County","AL","651525","273097","2881838","28997","33552433","-8689671"
"1","75","Lamar County","AL","15715","6617","1566658","1600","33775081","-8809641"
"1","77","Lauderdale County","AL","79661","33522","1734061","127739","34903733","-8764758"
"1","79","Lawrence County","AL","31513","12212","1796023","63928","34519990","-8731021"
"1","81","Lee County","AL","87146","36636","1576767","17672","32597367","-8535588"
"1","83","Limestone County","AL","54135","21455","1471352","101097","34810321","-8698142"
"1","85","Lowndes County","AL","12658","4792","1859626","18359","32157500","-8664263"
"1","87","Macon County","AL","24928","9818","1581388","7040","32384887","-8569257"
"1","89","Madison County","AL","238912","97855","2084844","20532","34760002","-8654877"
"1","91","Marengo County","AL","23084","9144","2530740","15033","32248548","-8779037"
"1","93","Marion County","AL","29830","12597","1920398","5583","34134472","-8788656"
"1","95","Marshall County","AL","70832","30225","1468803","145314","34365158","-8631305"
"1","97","Mobile County","AL","378643","151220","3194402","1063909","30684350","-8819852"
"1","99","Monroe County","AL","23968","9633","2657256","22404","31562730","-8735310"
"1","101","Montgomery County","AL","209085","84525","2045765","25734","32224349","-8620379"
"1","103","Morgan County","AL","100043","40419","1508018","43624","34453298","-8685729"
"1","105","Perry County","AL","12759","4807","1863600","11901","32638846","-8729368"
"1","107","Pickens County","AL","20699","8379","2282979","22369","33283797","-8808408"
"1","109","Pike County","AL","27595","11506","1738113","2751","31806086","-8593891"
"1","111","Randolph County","AL","19881","8728","1505028","7933","33290802","-8545643"
"1","113","Russell County","AL","46860","19633","1660542","16319","32287341","-8518411"
"1","115","St. Clair County","AL","50009","20382","1642030","50944","33712571","-8631830"
"1","117","Shelby County","AL","99358","39201","2058840","38020","33266792","-8665466"
"1","119","Sumter County","AL","16174","6545","2343918","21669","32593446","-8819379"
"1","121","Talladega County","AL","74107","29861","1915562","53677","33383988","-8616948"
"1","123","Tallapoosa County","AL","38826","17312","1859724","124994","32860832","-8579759"
"1","125","Tuscaloosa County","AL","150522","58740","3432429","69317","33287940","-8752376"
"1","127","Walker County","AL","67670","28427","2057633","28248","33807130","-8729553"
"1","129","Washington County","AL","16694","6625","2799102","20425","31402696","-8820275"
"1","131","Wilcox County","AL","13568","5119","2301870","48649","31990903","-8730888"
"1","133","Winston County","AL","22053","10254","1591515","45117","34154535","-8737348"
"5","1","Arkansas County","AR","21653","9575","2560297","117372","34288872","-9137634"
"5","3","Ashley County","AR","24319","9820","2386316","46109","33190783","-9177226"
"5","5","Baxter County","AR","31186","15549","1435941","83827","36286225","-9233984"
"5","7","Benton County","AR","97499","41444","2184174","86778","36337987","-9425784"
"5","9","Boone County","AR","28297","12380","1531264","27566","36313592","-9309283"
"5","11","Bradley County","AR","11793","5092","1685258","9718","33463242","-9216836"
"5","13","Calhoun County","AR","5826","2437","1627372","11042","33554153","-9249714"
"5","15","Carroll County","AR","18654","8740","1641517","22112","36337153","-9354196"
"5","17","Chicot County","AR","15713","6191","1668139","121371","33266340","-9129770"
"5","19","Clark County","AR","21437","8807","2241656","44473","34053832","-9317650"
"5","21","Clay County","AR","18107","8362","1655913","5490","36376360","-9042147"
"5","23","Cleburne County","AR","19411","10802","1432511","100652","35542425","-9202899"
"5","25","Cleveland County","AR","7781","3322","1548180","2816","33894438","-9218791"
"5","27","Columbia County","AR","25691","10690","1984432","1937","33215092","-9322653"
"5","29","Conway County","AR","19151","8009","1440612","27168","35263495","-9269505"
"5","31","Craighead County","AR","68956","28434","1840977","5782","35828124","-9063188"
"5","33","Crawford County","AR","42493","16711","1542341","22642","35579452","-9424637"
"5","35","Crittenden County","AR","49939","18875","1581190","67953","35212638","-9031406"
"5","37","Cross County","AR","19225","7254","1595167","16792","35300011","-9077143"
"5","39","Dallas County","AR","9614","4049","1728746","1916","33966853","-9265703"
"5","41","Desha County","AR","16798","6706","1981447","141242","33831260","-9125930"
"5","43","Drew County","AR","17369","7159","2145148","19353","33589683","-9171690"
"5","45","Faulkner County","AR","60006","23397","1676682","43218","35147169","-9233528"
"5","47","Franklin County","AR","14897","6228","1578854","26232","35512250","-9389192"
"5","49","Fulton County","AR","10037","4839","1601231","5509","36383112","-9181891"
"5","51","Garland County","AR","73397","37966","1756152","146478","34573320","-9315395"
"5","53","Grant County","AR","13948","5540","1636421","3193","34287458","-9242342"
"5","55","Greene County","AR","31804","13216","1495869","5536","36119053","-9056226"
"5","57","Hempstead County","AR","21621","9690","1887721","32561","33731300","-9366495"
"5","59","Hot Spring County","AR","26115","11378","1592780","18715","34320144","-9294511"
"5","61","Howard County","AR","13569","5600","1521532","20129","34089827","-9398951"
"5","63","Independence County","AR","31192","12838","1978371","20168","35744099","-9156621"
"5","65","Izard County","AR","11364","5535","1504118","8611","36094609","-9191100"
"5","67","Jackson County","AR","18944","8086","1640953","20523","35600258","-9121391"
"5","69","Jefferson County","AR","85487","33311","2291610","75014","34269210","-9192907"
"5","71","Johnson County","AR","18221","7984","1715127","53285","35569018","-9346116"
"5","73","Lafayette County","AR","9643","4523","1363745","48099","33235524","-9361059"
"5","75","Lawrence County","AR","17457","7692","1519327","14960","36043049","-9111497"
"5","77","Lee County","AR","13053","5085","1558398","46112","34779637","-9078031"
"5","79","Lincoln County","AR","13690","4295","1453606","28407","33953221","-9173393"
"5","81","Little River County","AR","13966","6171","1377273","85829","33700236","-9423563"
"5","83","Logan County","AR","20557","8539","1838692","56027","35215114","-9371262"
"5","85","Lonoke County","AR","39268","15009","1982649","95782","34740315","-9185300"
"5","87","Madison County","AR","11618","5182","2167716","439","36012240","-9372307"
"5","89","Marion County","AR","12001","6139","1548137","110460","36262962","-9267991"
"5","91","Miller County","AR","38467","16172","1616349","34847","33311498","-9388056"
"5","93","Mississippi County","AR","57525","22232","2326636","55640","35764082","-9005447"
"5","95","Monroe County","AR","11333","5063","1571408","38165","34680279","-9120305"
"5","97","Montgomery County","AR","7841","4269","2022732","50161","34545966","-9366019"
"5","99","Nevada County","AR","10101","4287","1605822","2136","33666725","-9330288"
"5","101","Newton County","AR","7666","3439","2131641","542","35917735","-9322308"
"5","103","Ouachita County","AR","30574","13204","1897230","18603","33591134","-9287926"
"5","105","Perry County","AR","7969","3702","1426983","24729","34946973","-9293405"
"5","107","Phillips County","AR","28838","11094","1794151","89661","34425633","-9085201"
"5","109","Pike County","AR","10086","4550","1561920","28160","34166363","-9365474"
"5","111","Poinsett County","AR","24664","10271","1962683","14625","35577391","-9066321"
"5","113","Polk County","AR","17347","7732","2225987","7817","34474769","-9422400"
"5","115","Pope County","AR","45883","18430","2102961","48921","35446432","-9303576"
"5","117","Prairie County","AR","9518","4340","1673146","77206","34827607","-9155724"
"5","119","Pulaski County","AR","349660","151538","1996780","95718","34770100","-9231081"
"5","121","Randolph County","AR","16558","7343","1688348","10902","36342062","-9102807"
